关键词,帖子内容,帖子链接,帖子点赞数,帖子转发数,帖子评论数,图片视频链接,发布时间,发布者的id,发布者的姓名,发布人的账号类型,发布人的粉丝数,发布者的关注数,作者简介,ip归属地,性别,全部微博数量,微博标签,图片视频类型,博主分类,公司,大学,加入微博时间,信用,爬取时间,发布终端
ChatGPT,//@博士教授分享:ChatGPT之父Sam Altman//@静静的顿猴:也太像《硅谷》了！//@来去之间:转发微博,https://weibo.com/2708090867/MrESotKqv,0,0,0,None[],2023-02-05 22:59:28,2708090867,米酒熊宝宝,无认证,264,273,,IP属地：福建,女,1743,None,图片,None,None,university,2012-04-14 14:57:05,信用极好,2024-04-05-10-23-51,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/1TqjXH"" rel=""nofollow"">HUAWEI P30 Pro</a>"
ChatGPT,"以ChatGPT为代表的自然语言模型将深刻融入内容生成、搜索引擎增强、编程协助、智能客服等领域，成为人们日常生活生产的重要辅助工具。同时，ChatGPT的快速商业落地也将带动AI芯片产业链、数据产业链的发展。
ChatGPT这条“鲶鱼”搅动着AI池水，究竟触痛了谁的神经？
在ChatGPT发布的第一天，就有生成式AI将取代搜索引擎的声音出现。作为全球最大的中文搜索引擎，百度率先出击。有消息人士透露，百度将在今年3月推出与OpenAI的ChatGPT类似的人工智能聊天机器人服务，最初版本将嵌入百度搜索服务中，允许用户获得对话式的搜索结果，名称尚未确定。多年以来，百度砸下了数十亿美元研究AI，历经数年数据训练的大规模机器学习模型——文心大模型，将成为百度即将推出的类似ChatGPT的工具的基础。虽然百度对这一消息尚未作出正面回应，但百度搜索杰出架构师辜斯缪1月初曾表示，百度搜索2023年在技术上最重要的工作就是要把整个检索系统变成检索+生成双模系统。
在ChatGPT的步步紧逼下，谷歌也终于“坐不住”了。在围绕谷歌AI战略的会议中，谷歌CEO桑达尔·皮查伊要求公司重新集中精力解决ChatGPT对其搜索引擎业务构成的威胁。近日，有消息称，谷歌正在测试一款类似ChatGPT的聊天机器人Apprentice Bard，该产品基于谷歌对话模型LaMDA，员工可以向其提问并获得类似ChatGPT的详细答案。据悉，即便近期刚发生的事，Apprentice Bard也能回答出来。而此种能力ChatGPT目前并不具备",https://weibo.com/1599548714/MrESnhMJs,0,0,0,None[],2023-02-05 22:59:25,1599548714,兰如书屋-捷墉,无认证,1295,378,天地忌盈，业不求满...知止。做人贵在顺其自然和自知之明，对人对事都不可强求。,IP属地：广东,男,26167,"视频累计播放量73,",图片,None,硕浦富骏置业有限公司,university,2011-05-24 23:28:18,信用较好,2024-04-05-10-23-52,iPhone客户端
ChatGPT,搅动AI池水，ChatGPT触痛了谁的神经？ChatGPT这类生成式AI工具，让机器开始大规模涉足知识类和创造性工作，这涉及数十亿人的工作，未来预计能够产生数万亿美元的经济价值 ,https://weibo.com/1599548714/MrESjtqXG,0,0,0,None[],2023-02-05 22:59:16,1599548714,兰如书屋-捷墉,无认证,1295,378,天地忌盈，业不求满...知止。做人贵在顺其自然和自知之明，对人对事都不可强求。,IP属地：广东,男,26167,"视频累计播放量73,",图片,None,硕浦富骏置业有限公司,university,2011-05-24 23:28:18,信用较好,2024-04-05-10-23-53,iPhone客户端
ChatGPT,[心]chatgpt🙃🙃🙃 ,https://weibo.com/1738279153/MrESflhX1,0,0,0,None[],2023-02-05 22:59:06,1738279153,王小蝉521,无认证,35,8,🌸招财~招财~招财~☝️个亿🐬,,女,178,"视频累计播放量31,",图片,None,None,university,2010-05-06 11:40:22,信用较好,2024-04-05-10-23-54,三星android智能手机
ChatGPT,#ChatGPT#很多东西要被颠覆了 ,https://weibo.com/1744931373/MrESf2A8w,0,0,0,None[],2023-02-05 22:59:05,1744931373,燚燚_森森,无认证,98,185,,IP属地：北京,男,4901,"视频累计播放量162,",图片,None,None,university,2010-05-21 20:01:47,信用较好,2024-04-05-10-23-55,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/6B7EUM"" rel=""nofollow"">nova7你在焦点在</a>"
ChatGPT,"#股票[超话]#流量气球事件，在这个周末持续发酵，让中美关系再度紧张，可能会影响到外资对中国资产的风险偏好。预测周一指数会因此杀跌，外资会净流出，然后大金融和权重白马股延续回调走势。但暂时不必担忧行情结束，市场做多情绪已被激活，内资也已开始进场接力。个股赚钱效应明显提升（久违的百股涨停潮+万亿成交）。庞大的新增储蓄（比往年多了8万亿），有望成为做多A股的有生力量！

短线题材方面，人工智能板块仍有炒作空间，ChatGPT的横空出世是划时代的，对传统互联网是的颠覆性的。对人类社会生活的影响，也远超去年的元宇宙！#股票技术##财经##股市分析##投资##今日看盘##上证指数#",https://weibo.com/5517677645/MrESdhdM9,0,0,1,None['https://wx1.sinaimg.cn/orj960/0061pC0Jgy1hat09tvgn8j30u011e0yi'],2023-02-05 22:59:01,5517677645,一哥股市论金,黄V,123444,590,"资深证券分析师，玩股票十多年了，永远坚守价值投资,永远遵从价值投资是获利之本 个人突出特点：心理素质过硬，善于操作大波段的获利行情,价值选股",IP属地：广东,男,43355,"V指数 财经 57.97分,昨日发博15，阅读数1万+，互动数21,获赞赏次数32,视频累计播放量45.9万,财经博主,",图片,财经博主 头条文章作者,中信证券股份有限公司,北京金融学院,2015-04-03 08:14:08,信用极好,2024-04-05-10-23-56,热门股评师iPhone客户端
ChatGPT,chatGPT赶紧的，把我工作替了吧。 ,https://weibo.com/7645903503/MrERUkh1m,0,0,0,None[],2023-02-05 22:58:16,7645903503,花开1224,无认证,21,55,拥抱变化。,IP属地：陕西,女,1588,"视频累计播放量2682,",图片,None,None,university,2021-07-12 21:24:51,信用较好,2024-04-05-10-23-56,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/3HbuLH"" rel=""nofollow"">Redmi K30 Pro 真旗舰</a>"
ChatGPT,我围观了@褚明宇 的回答，该问题价值2198.00元，围观仅1元，快来一起围观~ http://t.cn/A69mbFwH ,https://weibo.com/2202742557/MrERT9r1l,0,0,0,None[],2023-02-05 22:58:13,2202742557,onef1984,无认证,391,921,我戴着我在生活中锻造的锁链,IP属地：天津,男,4133,None,图片,None,None,university,2011-06-27 15:28:47,信用极好,2024-04-05-10-23-57,微博问答
ChatGPT,//@博士教授分享:ChatGPT之父Sam Altman//@静静的顿猴:也太像《硅谷》了！//@来去之间:转发微博,https://weibo.com/2708090867/MrESotKqv,0,0,0,None[],2023-02-05 22:59:28,2708090867,米酒熊宝宝,无认证,264,273,,IP属地：福建,女,1743,None,图片,None,None,university,2012-04-14 14:57:05,信用极好,2024-04-05-10-23-59,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/1TqjXH"" rel=""nofollow"">HUAWEI P30 Pro</a>"
ChatGPT,"以ChatGPT为代表的自然语言模型将深刻融入内容生成、搜索引擎增强、编程协助、智能客服等领域，成为人们日常生活生产的重要辅助工具。同时，ChatGPT的快速商业落地也将带动AI芯片产业链、数据产业链的发展。
ChatGPT这条“鲶鱼”搅动着AI池水，究竟触痛了谁的神经？
在ChatGPT发布的第一天，就有生成式AI将取代搜索引擎的声音出现。作为全球最大的中文搜索引擎，百度率先出击。有消息人士透露，百度将在今年3月推出与OpenAI的ChatGPT类似的人工智能聊天机器人服务，最初版本将嵌入百度搜索服务中，允许用户获得对话式的搜索结果，名称尚未确定。多年以来，百度砸下了数十亿美元研究AI，历经数年数据训练的大规模机器学习模型——文心大模型，将成为百度即将推出的类似ChatGPT的工具的基础。虽然百度对这一消息尚未作出正面回应，但百度搜索杰出架构师辜斯缪1月初曾表示，百度搜索2023年在技术上最重要的工作就是要把整个检索系统变成检索+生成双模系统。
在ChatGPT的步步紧逼下，谷歌也终于“坐不住”了。在围绕谷歌AI战略的会议中，谷歌CEO桑达尔·皮查伊要求公司重新集中精力解决ChatGPT对其搜索引擎业务构成的威胁。近日，有消息称，谷歌正在测试一款类似ChatGPT的聊天机器人Apprentice Bard，该产品基于谷歌对话模型LaMDA，员工可以向其提问并获得类似ChatGPT的详细答案。据悉，即便近期刚发生的事，Apprentice Bard也能回答出来。而此种能力ChatGPT目前并不具备",https://weibo.com/1599548714/MrESnhMJs,0,0,0,None[],2023-02-05 22:59:25,1599548714,兰如书屋-捷墉,无认证,1295,378,天地忌盈，业不求满...知止。做人贵在顺其自然和自知之明，对人对事都不可强求。,IP属地：广东,男,26167,"视频累计播放量73,",图片,None,硕浦富骏置业有限公司,university,2011-05-24 23:28:18,信用较好,2024-04-05-10-24-00,iPhone客户端
