关键词,帖子内容,帖子链接,帖子点赞数,帖子转发数,帖子评论数,图片视频链接,发布时间,发布者的id,发布者的姓名,发布人的账号类型,发布人的粉丝数,发布者的关注数,作者简介,ip归属地,性别,全部微博数量,微博标签,图片视频类型,博主分类,公司,大学,加入微博时间,信用,爬取时间,发布终端
干旱,"不畏风雨

作者：宫泽贤治

不畏雨 不畏风
也不畏冬雪
和酷暑

有一个结实的身体 无欲无求
绝不发怒 总是平静微笑

一日食玄米半升 以及味噌和少许蔬菜
对所有事情 不过分思虑
多听多看 洞察铭记
居住在原野松林荫下 小小的茅草屋

东边有孩子生病
就去看护照顾
西边有母亲劳累
就去帮她扛起稻束
南边有人垂危
就去告诉他莫要怕
北边有争吵或冲突
就去说这很无聊请停止
干旱时流下眼泪
冷夏时坐立不安

大家喊我傻瓜
不被赞美 也不受苦
我想成为 这样的人
（程璧 译）",https://weibo.com/6818584509/JBw4O92ZV,0,0,0,None[],2021-01-03 22:45:28,6818584509,吹哇吹哇,无认证,2,90,还有75%电量,,女,37,"视频累计播放量75,",图片,None,None,university,2018-11-04 19:57:05,信用较好,2024-05-22-13-50-08,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/2fn4MK"" rel=""nofollow"">小米8青春版 潮流旗舰</a>"
干旱,美索不达米亚的隐藏之美：伊拉克沼泽（伊拉克南部Ahwar：生态多样性庇难所和美索不达米亚城市遗迹景观），2016年成为伊拉克首项世界文化和自然复合遗产。位于伊拉克南部的Ahwar，也被称为伊拉克沼泽地，是独特的、世界上最大的内陆三角洲系统之一，地处于极炎热和干旱的环境。http://t.cn/A6quyjE5 @蘸盐 @早期文明比较研究工作坊,https://weibo.com/2778170650/JBw34zhHl,22,22,6,"None['https://wx1.sinaimg.cn/orj960/a597851agy1gmavnakr7nj21900u0n4n', 'https://wx1.sinaimg.cn/orj960/a597851agy1gmavnabb9zj21900u0449', 'https://wx1.sinaimg.cn/orj960/a597851agy1gmavnblgrfj21900u013k', 'https://wx1.sinaimg.cn/orj960/a597851agy1gmavnaxquqj21900u0k68', 'https://wx1.sinaimg.cn/orj960/a597851agy1gmavnbfnssj21900u0qd7', 'https://wx1.sinaimg.cn/orj960/a597851agy1gmavnb4hraj219q0u0h0d', 'https://wx1.sinaimg.cn/orj960/a597851agy1gmavna8hygj21900u0433', 'https://wx1.sinaimg.cn/orj960/a597851agy1gmavnakrgjj21900u0gu2', 'https://wx1.sinaimg.cn/orj960/a597851agy1gmavnav4wej21900u0gtb']",2021-01-03 22:41:11,2778170650,爱世界遗产,黄V,60693,505,有趣的世界遗产热点冷知识在这里。微信公众号及今日头条号：爱世界遗产,IP属地：广东,男,9884,"昨日发博2，阅读数1万+，互动数46,视频累计播放量124.6万,",图片,旅游博主,NONE,university,2012-07-22 15:01:33,信用极好,2024-05-22-13-50-09,超话
干旱,没有情绪的干旱 //@阿欧无敌 :明天更清楚//@林俊杰国际歌友会 :#林俊杰[超话]#💜#JJ林俊杰幸存者如你# 2021第一张帅气自拍接收✅。期待能和你@林俊杰 一起见证更多突破！新年快乐！一起加油！,https://weibo.com/7311879449/JBw1wgJtA,0,0,0,None[],2021-01-03 22:37:22,7311879449,菲菲就是酷崽,无认证,1103,193,哈喽，要和我一起粉林俊杰吗,IP属地：陕西,女,36887,None,图片,None,None,汉台中学,2019-09-29 00:05:02,信用较好,2024-05-22-13-50-10,微博轻享版
干旱,没有情绪的干旱 //@阿欧无敌 :明天更清楚//@林俊杰国际歌友会 :#林俊杰[超话]#💜#JJ林俊杰幸存者如你# 2021第一张帅气自拍接收✅。期待能和你@林俊杰 一起见证更多突破！新年快乐！一起加油！,https://weibo.com/7311879449/JBw1dpivC,0,0,0,None[],2021-01-03 22:36:37,7311879449,菲菲就是酷崽,无认证,1103,193,哈喽，要和我一起粉林俊杰吗,IP属地：陕西,女,36887,None,图片,None,None,汉台中学,2019-09-29 00:05:02,信用较好,2024-05-22-13-50-11,微博轻享版
干旱,没有情绪的干旱 //@阿欧无敌 :明天更清楚//@林俊杰国际歌友会 :#林俊杰[超话]#💜#JJ林俊杰幸存者如你# 2021第一张帅气自拍接收✅。期待能和你@林俊杰 一起见证更多突破！新年快乐！一起加油！,https://weibo.com/7311879449/JBw0UsmvE,0,0,0,None[],2021-01-03 22:35:51,7311879449,菲菲就是酷崽,无认证,1103,193,哈喽，要和我一起粉林俊杰吗,IP属地：陕西,女,36887,None,图片,None,None,汉台中学,2019-09-29 00:05:02,信用较好,2024-05-22-13-50-12,微博轻享版
干旱,"【海南出台自然灾害救助办法！灾害种类包括这些→】

省政府办公厅近日印发了《海南省自然灾害救助办法》（简称《办法》），规范自然灾害救助行为，确保受灾人员基本生活，全面提升海南省的自然灾害救助能力。

　　《办法》适用于本省行政区域内，自然灾害的救助准备、受灾人员应急救助和灾后救助等活动。《办法》所称的自然灾害主要包括洪涝、干旱等水旱灾害，台风、风雹、低温冷冻等气象灾害，地震灾害，崩塌、滑坡、泥石流等地质灾害，风暴潮等海洋灾害，森林火灾和重大生物灾害等。

　　《办法》提出，自然灾害救助遵循以党委领导、政府主导、分级管理、社会互助、群众自救的原则。自然灾害救助工作实行各级人民政府行政领导负责制，属地管理、分级负责。对因自然灾害造成或者可能造成人身伤亡、财产损失，生产生活受到影响的人员，依法及时提供必要的生活救助，保障其食品、饮用水、衣被、安全住所、医疗防疫等基本生活需求。

　　《办法》提出，省应急管理厅等有关部门应当制定与海南自贸港建设相适应的全省自然灾害救助物资储备库建设规划，合理布局和推进区域性救助物资储备库建设。市县政府应当根据当地自然灾害特点，居民人口数量和分布等情况，按照布局合理、规模适度的原则，设立自然灾害救助物资储备库。此外，海南省还要建立覆盖全省的省、市、县、乡、村五级灾害信息员队伍。不同级别的灾害信息员，分别要承担报送自然灾害灾情统计、灾害隐患排查、灾害监测预警、险情信息等任务，协调做好受灾群众紧急生活救助等工作。

　　《办法》还提出，海南省要探索建立重大灾害保险、农村住房保险等自然灾害保险制度，鼓励和引导自然灾害多发、易发地区农村居民自愿参保。有条件的地区，可以结合当地财力状况、居民收入水平和现有减灾救灾政策，由人民政府给予居民适当的保险费补贴，为救灾队伍购买人身意外伤害保险。

来源：海南日报",https://weibo.com/6041560575/JBvV4tHOb,0,0,0,None[],2021-01-03 22:21:29,6041560575,洋浦政务,无认证,1171,141,,None,男,19444,"视频累计播放量9万,",图片,海南省洋浦经济开发区管理委员会官方微博,None,university,2016-10-08 09:52:21,信用较好,2024-05-22-13-50-13,微博 weibo.com
干旱,"#夏之光[超话]#xzg#夏之光 熠熠廿一如晟锦期# 
福州打卡！
干旱地区的小雨[二哈]  ",https://weibo.com/5634672676/JBvTVeKPz,4,0,0,"None['https://wx1.sinaimg.cn/orj960/0069kvLmly1gmavatkfdrj31hc0u0tdx', 'https://wx1.sinaimg.cn/orj960/0069kvLmly1gmavau616dj30u00u0gp6', 'https://wx1.sinaimg.cn/orj960/0069kvLmly1gmavauzmi3j31420u0q9a', 'https://wx1.sinaimg.cn/orj960/0069kvLmly1gmavavwq33j31hc0u045h']",2021-01-03 22:18:38,5634672676,每天都爱瞎逛,无认证,55,266,,IP属地：福建,女,26,None,图片,None,None,university,2015-06-19 20:12:43,信用较好,2024-05-22-13-50-14,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/63mcJc"" rel=""nofollow"">小米9</a>"
干旱,"#木木杰冰激凌小铺[超话]# zlj#爱豆能量月#  zlj#左林杰0130生日快乐#  
从干旱沙漠往前终有绿洲，循干涸河水往前会得泉眼。从零到满，抓住就好，少年从远方走来，将天赋化作魔法，点亮万物[月亮]@SKY-左林杰 ",https://weibo.com/7500924362/JBvTPBMiH,0,0,0,"None['https://wx1.sinaimg.cn/orj960/008bD750ly1gmavagsooyj30i70i7juz', 'https://wx1.sinaimg.cn/orj960/008bD750ly1gmavahx0ehj30i70i7jx9', 'https://wx1.sinaimg.cn/orj960/008bD750ly1gmavaisgtjj30i70i7wil', 'https://wx1.sinaimg.cn/orj960/008bD750ly1gmavajjrdmj30i70i70w6', 'https://wx1.sinaimg.cn/orj960/008bD750ly1gmavakbx5vj30i70i7424', 'https://wx1.sinaimg.cn/orj960/008bD750ly1gmaval8oobj30i70i7q6g', 'https://wx1.sinaimg.cn/orj960/008bD750ly1gmavamwhv4j30i70i7785', 'https://wx1.sinaimg.cn/orj960/008bD750ly1gmavankxhgj30i70i777y', 'https://wx1.sinaimg.cn/orj960/008bD750ly1gmavaoabl8j30i70i7adl']",2021-01-03 22:18:26,7500924362,榴莲solo粥-,无认证,539,130,喵喵喵,,女,4957,None,图片,None,None,university,2020-09-09 20:59:21,信用一般,2024-05-22-13-50-15,微博轻享版
干旱,"不畏风雨

作者：宫泽贤治

不畏雨 不畏风
也不畏冬雪
和酷暑

有一个结实的身体 无欲无求
绝不发怒 总是平静微笑

一日食玄米半升 以及味噌和少许蔬菜
对所有事情 不过分思虑
多听多看 洞察铭记
居住在原野松林荫下 小小的茅草屋

东边有孩子生病
就去看护照顾
西边有母亲劳累
就去帮她扛起稻束
南边有人垂危
就去告诉他莫要怕
北边有争吵或冲突
就去说这很无聊请停止
干旱时流下眼泪
冷夏时坐立不安

大家喊我傻瓜
不被赞美 也不受苦
我想成为 这样的人
（程璧 译）",https://weibo.com/6818584509/JBw4O92ZV,0,0,0,None[],2021-01-03 22:45:28,6818584509,吹哇吹哇,无认证,2,90,还有75%电量,,女,37,"视频累计播放量75,",图片,None,None,university,2018-11-04 19:57:05,信用较好,2024-05-22-13-50-16,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/2fn4MK"" rel=""nofollow"">小米8青春版 潮流旗舰</a>"
干旱,美索不达米亚的隐藏之美：伊拉克沼泽（伊拉克南部Ahwar：生态多样性庇难所和美索不达米亚城市遗迹景观），2016年成为伊拉克首项世界文化和自然复合遗产。位于伊拉克南部的Ahwar，也被称为伊拉克沼泽地，是独特的、世界上最大的内陆三角洲系统之一，地处于极炎热和干旱的环境。http://t.cn/A6quyjE5 @蘸盐 @早期文明比较研究工作坊,https://weibo.com/2778170650/JBw34zhHl,22,22,6,"None['https://wx1.sinaimg.cn/orj960/a597851agy1gmavnakr7nj21900u0n4n', 'https://wx1.sinaimg.cn/orj960/a597851agy1gmavnabb9zj21900u0449', 'https://wx1.sinaimg.cn/orj960/a597851agy1gmavnblgrfj21900u013k', 'https://wx1.sinaimg.cn/orj960/a597851agy1gmavnaxquqj21900u0k68', 'https://wx1.sinaimg.cn/orj960/a597851agy1gmavnbfnssj21900u0qd7', 'https://wx1.sinaimg.cn/orj960/a597851agy1gmavnb4hraj219q0u0h0d', 'https://wx1.sinaimg.cn/orj960/a597851agy1gmavna8hygj21900u0433', 'https://wx1.sinaimg.cn/orj960/a597851agy1gmavnakrgjj21900u0gu2', 'https://wx1.sinaimg.cn/orj960/a597851agy1gmavnav4wej21900u0gtb']",2021-01-03 22:41:11,2778170650,爱世界遗产,黄V,60693,505,有趣的世界遗产热点冷知识在这里。微信公众号及今日头条号：爱世界遗产,IP属地：广东,男,9884,"昨日发博2，阅读数1万+，互动数46,视频累计播放量124.6万,",图片,旅游博主,NONE,university,2012-07-22 15:01:33,信用极好,2024-05-22-13-50-18,超话
